type,blender,japanese,english
BONE,Skirt_4_6,Skirt_4_6,Skirt_4_6
BONE,Skirt_0_7,Skirt_0_7,Skirt_0_7
BONE,Skirt_1_7,Skirt_1_7,Skirt_1_7
BONE,Skirt_2_7,Skirt_2_7,Skirt_2_7
BONE,Skirt_3_7,Skirt_3_7,Skirt_3_7
BONE,Skirt_4_7,Skirt_4_7,Skirt_4_7
BONE,Skirt_0_8,Skirt_0_8,Skirt_0_8
BONE,Skirt_1_8,Skirt_1_8,Skirt_1_8
BONE,Skirt_2_8,Skirt_2_8,Skirt_2_8
BONE,Skirt_3_8,Skirt_3_8,Skirt_3_8
BONE,Skirt_4_8,Skirt_4_8,Skirt_4_8
BONE,Skirt_0_9,Skirt_0_9,Skirt_0_9
BONE,Skirt_1_9,Skirt_1_9,Skirt_1_9
BONE,Skirt_2_9,Skirt_2_9,Skirt_2_9
BONE,Skirt_3_9,Skirt_3_9,Skirt_3_9
BONE,Skirt_4_9,Skirt_4_9,Skirt_4_9
BONE,Skirt_0_10,Skirt_0_10,Skirt_0_10
BONE,Skirt_1_10,Skirt_1_10,Skirt_1_10
BONE,Skirt_2_10,Skirt_2_10,Skirt_2_10
BONE,Skirt_3_10,Skirt_3_10,Skirt_3_10
BONE,Skirt_4_10,Skirt_4_10,Skirt_4_10
BONE,Skirt_0_11,Skirt_0_11,Skirt_0_11
BONE,Skirt_1_11,Skirt_1_11,Skirt_1_11
BONE,Skirt_2_11,Skirt_2_11,Skirt_2_11
BONE,Skirt_3_11,Skirt_3_11,Skirt_3_11
BONE,Skirt_4_11,Skirt_4_11,Skirt_4_11
BONE,UpperBody,UpperBody,upper body
BONE,UpperBody2,UpperBody2,upper body2
BONE,Neck,Neck,neck
BONE,Head,Head,head
BONE,Eye_L,Eye_L,eye_L
BONE,Eye_R,Eye_R,eye_R
BONE,Eyes,Eyes,eyes
BONE,B1_R,B1_R,RightB1
BONE,B1+_R,B1+_R,RightB1+
BONE,B2_R,B2_R,RightB2
BONE,B2+_R,B2+_R,RightB2+
BONE,B3_R,B3_R,RightB3
BONE,B3+_R,B3+_R,RightB3+
BONE,B4_R,B4_R,RightB4
BONE,B4+_R,B4+_R,RightB4+
BONE,B5_R,B5_R,RightB5
BONE,B5+_R,B5+_R,RightB5+
BONE,B1_L,B1_L,LeftB1
BONE,B1+_L,B1+_L,LeftB1+
BONE,B2_L,B2_L,LeftB2
BONE,B2+_L,B2+_L,LeftB2+
BONE,B3_L,B3_L,LeftB3
BONE,B3+_L,B3+_L,LeftB3+
BONE,B4_L,B4_L,LeftB4
BONE,B4+_L,B4+_L,LeftB4+
BONE,B5_L,B5_L,LeftB5
BONE,B5+_L,B5+_L,LeftB5+
BONE,Mbang1,Mbang1,Mbang1
BONE,bang1_R,bang1_R,Rightbang1
BONE,bang1_L,bang1_L,Leftbang1
BONE,foxyears_R,foxyears_R,Rightfoxyears
BONE,foxyears_L,foxyears_L,Leftfoxyears
BONE,pony 0_R,pony 0_R,Rightpony 0
BONE,pony 1_R,pony 1_R,Rightpony 1
BONE,pony 0_L,pony 0_L,Leftpony 0
BONE,pony 1_L,pony 1_L,Leftpony 1
BONE,Middlepony 0,Middlepony 0,Middlepony 0
BONE,Middlepony 1,Middlepony 1,Middlepony 1
BONE,Shoulder_L,Shoulder_L,shoulder_L
BONE,Arm_L,Arm_L,arm_L
BONE,ArmTwist_L,ArmTwist_L,arm twist_L
BONE,Elbow_L,Elbow_L,elbow_L
BONE,HandTwist_L,HandTwist_L,wrist twist_L
BONE,Wrist_L,Wrist_L,wrist_L
BONE,Thumb0_L,Thumb0_L,thumb0_L
BONE,Thumb1_L,Thumb1_L,thumb1_L
BONE,Thumb2_L,Thumb2_L,thumb2_L
BONE,IndexFinger1_L,IndexFinger1_L,fore1_L
BONE,IndexFinger2_L,IndexFinger2_L,fore2_L
BONE,IndexFinger3_L,IndexFinger3_L,fore3_L
BONE,MiddleFinger1_L,MiddleFinger1_L,middle1_L
BONE,MiddleFinger2_L,MiddleFinger2_L,middle2_L
BONE,MiddleFinger3_L,MiddleFinger3_L,middle3_L
BONE,RingFinger1_L,RingFinger1_L,third1_L
BONE,RingFinger2_L,RingFinger2_L,third2_L
BONE,RingFinger3_L,RingFinger3_L,third3_L
BONE,LittleFinger1_L,LittleFinger1_L,little1_L
BONE,LittleFinger2_L,LittleFinger2_L,little2_L
BONE,LittleFinger3_L,LittleFinger3_L,little3_L
BONE,Shoulder_R,Shoulder_R,shoulder_R
BONE,Arm_R,Arm_R,arm_R
BONE,ArmTwist_R,ArmTwist_R,arm twist_R
BONE,Elbow_R,Elbow_R,elbow_R
BONE,HandTwist_R,HandTwist_R,wrist twist_R
BONE,Wrist_R,Wrist_R,wrist_R
BONE,Thumb0_R,Thumb0_R,thumb0_R
BONE,Thumb1_R,Thumb1_R,thumb1_R
BONE,Thumb2_R,Thumb2_R,thumb2_R
BONE,IndexFinger1_R,IndexFinger1_R,fore1_R
BONE,IndexFinger2_R,IndexFinger2_R,fore2_R
BONE,IndexFinger3_R,IndexFinger3_R,fore3_R
BONE,MiddleFinger1_R,MiddleFinger1_R,middle1_R
BONE,MiddleFinger2_R,MiddleFinger2_R,middle2_R
BONE,MiddleFinger3_R,MiddleFinger3_R,middle3_R
BONE,RingFinger1_R,RingFinger1_R,third1_R
BONE,RingFinger2_R,RingFinger2_R,third2_R
BONE,RingFinger3_R,RingFinger3_R,third3_R
BONE,LittleFinger1_R,LittleFinger1_R,little1_R
BONE,LittleFinger2_R,LittleFinger2_R,little2_R
BONE,LittleFinger3_R,LittleFinger3_R,little3_R
BONE,Bangside0_R,Bangside0_R,RightBangside0
BONE,Bangside1_R,Bangside1_R,RightBangside1
BONE,Bangside0_L,Bangside0_L,LeftBangside0
BONE,Bangside1_L,Bangside1_L,LeftBangside1
BONE,LegIK_L,LegIK_L,leg IK_L
BONE,ToeTipIK_L,ToeTipIK_L,toe IK_L
BONE,LegIK_R,LegIK_R,leg IK_R
BONE,ToeTipIK_R,ToeTipIK_R,toe IK_R
BONE,default,default,default
PHYSICS,000_LowerBody,000_LowerBody,lower body
PHYSICS,001_UpperBody,001_UpperBody,upper body
PHYSICS,002_UpperBody2,002_UpperBody2,upper body2
PHYSICS,003_Neck,003_Neck,neck
PHYSICS,004_LeftShoulder,004_LeftShoulder,shoulder_L
PHYSICS,005_LeftArm,005_LeftArm,arm_L
PHYSICS,006_RightShoulder,006_RightShoulder,shoulder_R
PHYSICS,007_RightArm,007_RightArm,arm_R
PHYSICS,008_RightLeg,008_RightLeg,leg_R
PHYSICS,009_LeftLeg,009_LeftLeg,leg_L
PHYSICS,010_LeftKnee,010_LeftKnee,knee_L
PHYSICS,011_RightKnee,011_RightKnee,knee_R
PHYSICS,012_Head,012_Head,head
PHYSICS,013_RightB1,013_RightB1,RightB1
PHYSICS,014_RightB1+,014_RightB1+,RightB1+
PHYSICS,015_RightB2,015_RightB2,RightB2
PHYSICS,016_RightB2+,016_RightB2+,RightB2+
PHYSICS,017_RightB3,017_RightB3,RightB3
PHYSICS,018_RightB3+,018_RightB3+,RightB3+
PHYSICS,019_RightB4,019_RightB4,RightB4
PHYSICS,020_RightB4+,020_RightB4+,RightB4+
PHYSICS,021_RightB5,021_RightB5,RightB5
PHYSICS,022_RightB5+,022_RightB5+,RightB5+
PHYSICS,023_LeftB1,023_LeftB1,LeftB1
PHYSICS,024_LeftB1+,024_LeftB1+,LeftB1+
PHYSICS,025_LeftB2,025_LeftB2,LeftB2
PHYSICS,026_LeftB2+,026_LeftB2+,LeftB2+
PHYSICS,027_LeftB3,027_LeftB3,LeftB3
PHYSICS,028_LeftB3+,028_LeftB3+,LeftB3+
PHYSICS,029_LeftB4,029_LeftB4,LeftB4
PHYSICS,030_LeftB4+,030_LeftB4+,LeftB4+
PHYSICS,031_LeftB5,031_LeftB5,LeftB5
PHYSICS,032_LeftB5+,032_LeftB5+,LeftB5+
PHYSICS,033_Mbang1,033_Mbang1,Mbang1
PHYSICS,034_Rightbang1,034_Rightbang1,Rightbang1
PHYSICS,035_Leftbang1,035_Leftbang1,Leftbang1
PHYSICS,036_RightBangside0,036_RightBangside0,RightBangside0
PHYSICS,037_RightBangside1,037_RightBangside1,RightBangside1
PHYSICS,038_LeftBangside0,038_LeftBangside0,LeftBangside0
PHYSICS,039_LeftBangside1,039_LeftBangside1,LeftBangside1
PHYSICS,040_Rightfoxyears,040_Rightfoxyears,Rightfoxyears
PHYSICS,041_Leftfoxyears,041_Leftfoxyears,Leftfoxyears
PHYSICS,042_Rightpony 0,042_Rightpony 0,Rightpony 0
PHYSICS,043_Rightpony 1,043_Rightpony 1,Rightpony 1
PHYSICS,044_Leftpony 0,044_Leftpony 0,Leftpony 0
PHYSICS,045_Leftpony 1,045_Leftpony 1,Leftpony 1
PHYSICS,046_Middlepony 0,046_Middlepony 0,Middlepony 0
PHYSICS,047_Middlepony 1,047_Middlepony 1,Middlepony 1
PHYSICS,048_Skirt_0_0,048_Skirt_0_0,Skirt_0_0
PHYSICS,049_Skirt_0_1,049_Skirt_0_1,Skirt_0_1
PHYSICS,050_Skirt_0_2,050_Skirt_0_2,Skirt_0_2
PHYSICS,051_Skirt_0_3,051_Skirt_0_3,Skirt_0_3
PHYSICS,052_Skirt_0_4,052_Skirt_0_4,Skirt_0_4
PHYSICS,053_Skirt_0_5,053_Skirt_0_5,Skirt_0_5
PHYSICS,054_Skirt_0_6,054_Skirt_0_6,Skirt_0_6
PHYSICS,055_Skirt_0_7,055_Skirt_0_7,Skirt_0_7
PHYSICS,056_Skirt_0_8,056_Skirt_0_8,Skirt_0_8
PHYSICS,057_Skirt_0_9,057_Skirt_0_9,Skirt_0_9
PHYSICS,058_Skirt_0_10,058_Skirt_0_10,Skirt_0_10
PHYSICS,059_Skirt_0_11,059_Skirt_0_11,Skirt_0_11
PHYSICS,060_Skirt_1_0,060_Skirt_1_0,Skirt_1_0
PHYSICS,061_Skirt_1_1,061_Skirt_1_1,Skirt_1_1
PHYSICS,062_Skirt_1_2,062_Skirt_1_2,Skirt_1_2
PHYSICS,063_Skirt_1_3,063_Skirt_1_3,Skirt_1_3
PHYSICS,064_Skirt_1_4,064_Skirt_1_4,Skirt_1_4
PHYSICS,065_Skirt_1_5,065_Skirt_1_5,Skirt_1_5
PHYSICS,066_Skirt_1_6,066_Skirt_1_6,Skirt_1_6
PHYSICS,067_Skirt_1_7,067_Skirt_1_7,Skirt_1_7
PHYSICS,068_Skirt_1_8,068_Skirt_1_8,Skirt_1_8
PHYSICS,069_Skirt_1_9,069_Skirt_1_9,Skirt_1_9
PHYSICS,070_Skirt_1_10,070_Skirt_1_10,Skirt_1_10
PHYSICS,071_Skirt_1_11,071_Skirt_1_11,Skirt_1_11
PHYSICS,072_Skirt_2_0,072_Skirt_2_0,Skirt_2_0
PHYSICS,073_Skirt_2_1,073_Skirt_2_1,Skirt_2_1
PHYSICS,074_Skirt_2_2,074_Skirt_2_2,Skirt_2_2
PHYSICS,075_Skirt_2_3,075_Skirt_2_3,Skirt_2_3
PHYSICS,076_Skirt_2_4,076_Skirt_2_4,Skirt_2_4
PHYSICS,077_Skirt_2_5,077_Skirt_2_5,Skirt_2_5
PHYSICS,078_Skirt_2_6,078_Skirt_2_6,Skirt_2_6
PHYSICS,079_Skirt_2_7,079_Skirt_2_7,Skirt_2_7
PHYSICS,080_Skirt_2_8,080_Skirt_2_8,Skirt_2_8
PHYSICS,081_Skirt_2_9,081_Skirt_2_9,Skirt_2_9
PHYSICS,082_Skirt_2_10,082_Skirt_2_10,Skirt_2_10
PHYSICS,083_Skirt_2_11,083_Skirt_2_11,Skirt_2_11
PHYSICS,084_Skirt_3_0,084_Skirt_3_0,Skirt_3_0
PHYSICS,085_Skirt_3_1,085_Skirt_3_1,Skirt_3_1
PHYSICS,086_Skirt_3_2,086_Skirt_3_2,Skirt_3_2
PHYSICS,087_Skirt_3_3,087_Skirt_3_3,Skirt_3_3
PHYSICS,088_Skirt_3_4,088_Skirt_3_4,Skirt_3_4
PHYSICS,089_Skirt_3_5,089_Skirt_3_5,Skirt_3_5
PHYSICS,090_Skirt_3_6,090_Skirt_3_6,Skirt_3_6
PHYSICS,091_Skirt_3_7,091_Skirt_3_7,Skirt_3_7
PHYSICS,092_Skirt_3_8,092_Skirt_3_8,Skirt_3_8
PHYSICS,093_Skirt_3_9,093_Skirt_3_9,Skirt_3_9
PHYSICS,094_Skirt_3_10,094_Skirt_3_10,Skirt_3_10
PHYSICS,095_Skirt_3_11,095_Skirt_3_11,Skirt_3_11
PHYSICS,096_Skirt_4_0,096_Skirt_4_0,Skirt_4_0
PHYSICS,097_Skirt_4_1,097_Skirt_4_1,Skirt_4_1
PHYSICS,098_Skirt_4_2,098_Skirt_4_2,Skirt_4_2
PHYSICS,099_Skirt_4_3,099_Skirt_4_3,Skirt_4_3
PHYSICS,100_Skirt_4_4,100_Skirt_4_4,Skirt_4_4
PHYSICS,101_Skirt_4_5,101_Skirt_4_5,Skirt_4_5
PHYSICS,102_Skirt_4_6,102_Skirt_4_6,Skirt_4_6
PHYSICS,103_Skirt_4_7,103_Skirt_4_7,Skirt_4_7
PHYSICS,104_Skirt_4_8,104_Skirt_4_8,Skirt_4_8
PHYSICS,105_Skirt_4_9,105_Skirt_4_9,Skirt_4_9
PHYSICS,106_Skirt_4_10,106_Skirt_4_10,Skirt_4_10
PHYSICS,107_Skirt_4_11,107_Skirt_4_11,Skirt_4_11
PHYSICS,000_J_RightB1,000_J_RightB1,RightB1
PHYSICS,001_J_RightB1+,001_J_RightB1+,RightB1+
PHYSICS,002_J_RightB2,002_J_RightB2,RightB2
PHYSICS,003_J_RightB2+,003_J_RightB2+,RightB2+
PHYSICS,004_J_RightB3,004_J_RightB3,RightB3
PHYSICS,005_J_RightB3+,005_J_RightB3+,RightB3+
PHYSICS,006_J_RightB4,006_J_RightB4,RightB4
PHYSICS,007_J_RightB4+,007_J_RightB4+,RightB4+
PHYSICS,008_J_RightB5,008_J_RightB5,RightB5
PHYSICS,009_J_RightB5+,009_J_RightB5+,RightB5+
PHYSICS,010_J_LeftB1,010_J_LeftB1,LeftB1
PHYSICS,011_J_LeftB1+,011_J_LeftB1+,LeftB1+
PHYSICS,012_J_LeftB2,012_J_LeftB2,LeftB2
PHYSICS,013_J_LeftB2+,013_J_LeftB2+,LeftB2+
PHYSICS,014_J_LeftB3,014_J_LeftB3,LeftB3
PHYSICS,015_J_LeftB3+,015_J_LeftB3+,LeftB3+
PHYSICS,016_J_LeftB4,016_J_LeftB4,LeftB4
PHYSICS,017_J_LeftB4+,017_J_LeftB4+,LeftB4+
PHYSICS,018_J_LeftB5,018_J_LeftB5,LeftB5
PHYSICS,019_J_LeftB5+,019_J_LeftB5+,LeftB5+
PHYSICS,020_J_Mbang1,020_J_Mbang1,Mbang1
PHYSICS,021_J_Rightbang1,021_J_Rightbang1,Rightbang1
PHYSICS,022_J_Leftbang1,022_J_Leftbang1,Leftbang1
PHYSICS,023_J_RightBangside0,023_J_RightBangside0,RightBangside0
PHYSICS,024_J_RightBangside1,024_J_RightBangside1,RightBangside1
PHYSICS,025_J_LeftBangside0,025_J_LeftBangside0,LeftBangside0
PHYSICS,026_J_LeftBangside1,026_J_LeftBangside1,LeftBangside1
PHYSICS,027_J_Rightfoxyears,027_J_Rightfoxyears,Rightfoxyears
PHYSICS,028_J_Leftfoxyears,028_J_Leftfoxyears,Leftfoxyears
PHYSICS,029_J_Rightpony 0,029_J_Rightpony 0,Rightpony 0
PHYSICS,030_J_Rightpony 1,030_J_Rightpony 1,Rightpony 1
PHYSICS,031_J_Leftpony 0,031_J_Leftpony 0,Leftpony 0
PHYSICS,032_J_Leftpony 1,032_J_Leftpony 1,Leftpony 1
PHYSICS,033_J_Middlepony 0,033_J_Middlepony 0,Middlepony 0
PHYSICS,034_J_Middlepony 1,034_J_Middlepony 1,Middlepony 1
PHYSICS,035_J_Skirt_0_0,035_J_Skirt_0_0,Skirt_0_0
PHYSICS,036_J_Skirt_0_1,036_J_Skirt_0_1,Skirt_0_1
PHYSICS,037_J_Skirt_0_2,037_J_Skirt_0_2,Skirt_0_2
PHYSICS,038_J_Skirt_0_3,038_J_Skirt_0_3,Skirt_0_3
PHYSICS,039_J_Skirt_0_4,039_J_Skirt_0_4,Skirt_0_4
PHYSICS,040_J_Skirt_0_5,040_J_Skirt_0_5,Skirt_0_5
PHYSICS,041_J_Skirt_0_6,041_J_Skirt_0_6,Skirt_0_6
PHYSICS,042_J_Skirt_0_7,042_J_Skirt_0_7,Skirt_0_7
PHYSICS,043_J_Skirt_0_8,043_J_Skirt_0_8,Skirt_0_8
PHYSICS,044_J_Skirt_0_9,044_J_Skirt_0_9,Skirt_0_9
PHYSICS,045_J_Skirt_0_10,045_J_Skirt_0_10,Skirt_0_10
PHYSICS,046_J_Skirt_0_11,046_J_Skirt_0_11,Skirt_0_11
PHYSICS,047_J_Skirt_1_0,047_J_Skirt_1_0,Skirt_1_0
PHYSICS,048_J_Skirt_1_1,048_J_Skirt_1_1,Skirt_1_1
PHYSICS,049_J_Skirt_1_2,049_J_Skirt_1_2,Skirt_1_2
PHYSICS,050_J_Skirt_1_3,050_J_Skirt_1_3,Skirt_1_3
PHYSICS,051_J_Skirt_1_4,051_J_Skirt_1_4,Skirt_1_4
PHYSICS,052_J_Skirt_1_5,052_J_Skirt_1_5,Skirt_1_5
PHYSICS,053_J_Skirt_1_6,053_J_Skirt_1_6,Skirt_1_6
PHYSICS,054_J_Skirt_1_7,054_J_Skirt_1_7,Skirt_1_7
PHYSICS,055_J_Skirt_1_8,055_J_Skirt_1_8,Skirt_1_8
PHYSICS,056_J_Skirt_1_9,056_J_Skirt_1_9,Skirt_1_9
PHYSICS,057_J_Skirt_1_10,057_J_Skirt_1_10,Skirt_1_10
PHYSICS,058_J_Skirt_1_11,058_J_Skirt_1_11,Skirt_1_11
PHYSICS,059_J_Skirt_2_0,059_J_Skirt_2_0,Skirt_2_0
PHYSICS,060_J_Skirt_2_1,060_J_Skirt_2_1,Skirt_2_1
PHYSICS,061_J_Skirt_2_2,061_J_Skirt_2_2,Skirt_2_2
PHYSICS,062_J_Skirt_2_3,062_J_Skirt_2_3,Skirt_2_3
PHYSICS,063_J_Skirt_2_4,063_J_Skirt_2_4,Skirt_2_4
PHYSICS,064_J_Skirt_2_5,064_J_Skirt_2_5,Skirt_2_5
PHYSICS,065_J_Skirt_2_6,065_J_Skirt_2_6,Skirt_2_6
PHYSICS,066_J_Skirt_2_7,066_J_Skirt_2_7,Skirt_2_7
PHYSICS,067_J_Skirt_2_8,067_J_Skirt_2_8,Skirt_2_8
PHYSICS,068_J_Skirt_2_9,068_J_Skirt_2_9,Skirt_2_9
PHYSICS,069_J_Skirt_2_10,069_J_Skirt_2_10,Skirt_2_10
PHYSICS,070_J_Skirt_2_11,070_J_Skirt_2_11,Skirt_2_11
PHYSICS,071_J_Skirt_3_0,071_J_Skirt_3_0,Skirt_3_0
PHYSICS,072_J_Skirt_3_1,072_J_Skirt_3_1,Skirt_3_1
PHYSICS,073_J_Skirt_3_2,073_J_Skirt_3_2,Skirt_3_2
PHYSICS,074_J_Skirt_3_3,074_J_Skirt_3_3,Skirt_3_3
PHYSICS,075_J_Skirt_3_4,075_J_Skirt_3_4,Skirt_3_4
PHYSICS,076_J_Skirt_3_5,076_J_Skirt_3_5,Skirt_3_5
PHYSICS,077_J_Skirt_3_6,077_J_Skirt_3_6,Skirt_3_6
PHYSICS,078_J_Skirt_3_7,078_J_Skirt_3_7,Skirt_3_7
PHYSICS,079_J_Skirt_3_8,079_J_Skirt_3_8,Skirt_3_8
PHYSICS,080_J_Skirt_3_9,080_J_Skirt_3_9,Skirt_3_9
PHYSICS,081_J_Skirt_3_10,081_J_Skirt_3_10,Skirt_3_10
PHYSICS,082_J_Skirt_3_11,082_J_Skirt_3_11,Skirt_3_11
PHYSICS,083_J_Skirt_4_0,083_J_Skirt_4_0,Skirt_4_0
PHYSICS,084_J_Skirt_4_1,084_J_Skirt_4_1,Skirt_4_1
PHYSICS,085_J_Skirt_4_2,085_J_Skirt_4_2,Skirt_4_2
PHYSICS,086_J_Skirt_4_3,086_J_Skirt_4_3,Skirt_4_3
PHYSICS,087_J_Skirt_4_4,087_J_Skirt_4_4,Skirt_4_4
PHYSICS,088_J_Skirt_4_5,088_J_Skirt_4_5,Skirt_4_5
PHYSICS,089_J_Skirt_4_6,089_J_Skirt_4_6,Skirt_4_6
PHYSICS,090_J_Skirt_4_7,090_J_Skirt_4_7,Skirt_4_7
PHYSICS,091_J_Skirt_4_8,091_J_Skirt_4_8,Skirt_4_8
PHYSICS,092_J_Skirt_4_9,092_J_Skirt_4_9,Skirt_4_9
PHYSICS,093_J_Skirt_4_10,093_J_Skirt_4_10,Skirt_4_10
PHYSICS,094_J_Skirt_4_11,094_J_Skirt_4_11,Skirt_4_11
PHYSICS,095_J_SkirtSide_0_0,095_J_SkirtSide_0_0,SkirtSide_0_0
PHYSICS,096_J_SkirtSide_0_1,096_J_SkirtSide_0_1,SkirtSide_0_1
PHYSICS,097_J_SkirtSide_0_2,097_J_SkirtSide_0_2,SkirtSide_0_2
PHYSICS,098_J_SkirtSide_0_3,098_J_SkirtSide_0_3,SkirtSide_0_3
PHYSICS,099_J_SkirtSide_0_4,099_J_SkirtSide_0_4,SkirtSide_0_4
PHYSICS,100_J_SkirtSide_0_5,100_J_SkirtSide_0_5,SkirtSide_0_5
PHYSICS,101_J_SkirtSide_0_6,101_J_SkirtSide_0_6,SkirtSide_0_6
PHYSICS,102_J_SkirtSide_0_7,102_J_SkirtSide_0_7,SkirtSide_0_7
PHYSICS,103_J_SkirtSide_0_8,103_J_SkirtSide_0_8,SkirtSide_0_8
PHYSICS,104_J_SkirtSide_0_9,104_J_SkirtSide_0_9,SkirtSide_0_9
PHYSICS,105_J_SkirtSide_0_10,105_J_SkirtSide_0_10,SkirtSide_0_10
PHYSICS,106_J_SkirtSide_0_11,106_J_SkirtSide_0_11,SkirtSide_0_11
PHYSICS,107_J_SkirtSide_1_0,107_J_SkirtSide_1_0,SkirtSide_1_0
PHYSICS,108_J_SkirtSide_1_1,108_J_SkirtSide_1_1,SkirtSide_1_1
PHYSICS,109_J_SkirtSide_1_2,109_J_SkirtSide_1_2,SkirtSide_1_2
PHYSICS,110_J_SkirtSide_1_3,110_J_SkirtSide_1_3,SkirtSide_1_3
